url|id_auteur|auteur|sexe|pays|haiku
http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=4153&lg=f|serj-d|David Serjeant|H|UK|le nom\\que je ne voulais pas voir -\\café amer
http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=7347&lg=f|lahl-m|Meryem Lahlou|F|Maroc|De l'été.\\‏Mes poches sont pleines.\\‏Le sable de la plage.
http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=3985&lg=f|kolo-a|Angelika Kolompar Renville|F|Canada|visite à la clinique du cancer\\le jour se lève\\un hydravion attend
http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=1063&lg=f|lux-a|Angèle Lux|F|Canada|Miel et café ~\\odeur corsée imprégnant\\les draps froissés
http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=7398&lg=f|masm-s|Sarra Masmoudi|F|Tunisie|je tonds la pelouse~\\l'ombre du palmier a déjà\\franchi la clôture
http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=6521&lg=f|darn-b|Brian Austin Darnell|H|USA|pont dans la nuit -\\j'essaie de me souvenir\\de notre dernier baiser passionné
http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=2959&lg=f|py-d|Daniel Py|H|France|Enterrement :\\Combler les 17 pieds\\du haïku
http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=7197&lg=f|ligi-l|Lilas Ligier|F|France|Goût de saké~\\dans la brume parfois\\le parfum de ma mère
http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=602&lg=f|dudo-d|Denise Dudon|F|France|brise dans le lierre\\deux couples de papillons\\se poursuivent sans bruit
http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=3184&lg=f|sorl-w|William Sorlien|H|USA|evening thunder\\a homeless man\\comforts his dog
http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=6461&lg=f|lour-k|Karyn Louryan |F|Belgique|journée torride\\à même la peau légère\\la robe en lin
http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=7654&lg=f|poir-j|Jimmy Poirier|H|Canada|flaque d'eau sur la grève\\son petit pied disparaît\\dans un nuage
http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=2085&lg=f|quin-p|Philippe Quinta|H|France|Réunion du soir -\\La jeune femme d'en face\\croise les jambes
http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=6757&lg=f|mena-pd|Paul David Mena|H|USA|migration d'oies --\\personne ne leur demande\\d'où elles viennent
http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=6132&lg=f|alsa-m|Mohamad Alsari|H|Syria|ablation du sein\\entre la vie et la mort\\le tatouage du papillon
http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=5786&lg=f|mair-ma|Marie-Alice Maire|F|France|Déshabillée\\elle parfume mes poignets\\la mandarine
