http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=6540&lg=f | Ben Coudert | France | retour au travail -\\le triste son du ressac\\de la photocopieuse
http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=3784&lg=f | Paul David Mena | USA | premier de décembre ---\\l'obscurité\\avant l'aube
http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=220&lg=f | Isabel Asunsolo | France | Best Of Mac Donald\\deux limaçons roux\\sur une frite
http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=4212&lg=f | Damien Gabriels | France | après chaque voiture\\la ruée des pies\\vers l'amas de poils rouges
http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=4978&lg=f | Paul David Mena | USA | croissant de lune --\\la plenitude\\de ses lèvres
http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=108&lg=f |  sprite | England |    une boite du McDo\\   flotte vers la fontaine\\   un insecte à bord
http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=6009&lg=f | John McDonald | Scotland (UK) | pleine lune -\\un nouveau petit-fils\\têtant
http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=4276&lg=f | Damien Gabriels | France | dans la vapeur\\de ma tasse de thé\\la lune montante
http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=5716&lg=f | Louis Nagara | France | terrasse ensoleillée\\oublier Noël\\qui approche
http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=1950&lg=f | Damien Gabriels | France | minuit -\\avant le 12ème coup\\... la  chasse d'eau
http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=7382&lg=f | Gérard Dumon | France | course sous l'orage\\l'odeur du grain\\dans la grange
http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=6051&lg=f | Paul David Mena | USA | verglas --\\le médecin voudrait\\plus de tests
http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=1940&lg=f | Franck Vasseur | France | le dernier Kérouac\\à l'étroit \\entre Issa et Kervern
http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=5960&lg=f | John McDonald | Scotland (UK) | passant devant leur maison vide -\\son petit baiser\\encore sur la vitre
http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=916&lg=f | Daniel Py | France | un plastique bleu\\dans l'arbre encore nu\\- mi-avril
http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=2118&lg=f | Israel Balan | Mexico | trafic de nuit --\\elle me parle de\\cholesterol
