,url,id_auteur,auteur,sexe,pays,haiku
59,http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=5716&lg=f,naga-l,Louis Nagara,H,France,terrasse ensoleillée\\oublier Noël\\qui approche
60,http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=1950&lg=f,gabr-d,Damien Gabriels,H,France,minuit -\\avant le 12ème coup\\... la  chasse d'eau
61,http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=7382&lg=f,dumo-g,Gérard Dumon,H,France,course sous l'orage\\l'odeur du grain\\dans la grange
62,http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=6051&lg=f,mena-pd,Paul David Mena,H,USA,verglas --\\le médecin voudrait\\plus de tests
63,http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=1940&lg=f,vass-f,Franck Vasseur,H,France,le dernier Kérouac\\à l'étroit \\entre Issa et Kervern
64,http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=5960&lg=f,mcdo-j,John McDonald,H,Scotland(UK),passant devant leur maison vide -\\son petit baiser\\encore sur la vitre
65,http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=916&lg=f,py-d,Daniel Py,H,France,au coin de l'avenue\\chaque matin vers 9 h 30\\il ferme sa tente
66,http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=4596&lg=f,sorl-w,William Sorlien,H,USA,(roues de médecine\\des cairns de pierres des champs apparaissent\\dans le brouillard froid du printemps)
67,http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=6961&lg=f,derl-m,Marie Derley,F,Belgique,Hiver sans congés –\\au creux du coquillage\\le bruit de la mer
68,http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=7846&lg=f,lahl-m,Meryem Lahlou,F,Maroc,Coucher de soleil\\Quelque chose du jour\\Dans le pot de jasmin
69,http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=2228&lg=f,mena-pd,Paul David Mena,H,USA,une semaine avant Noël\\un chien à trois pattes\\sniffe la poubelle
70,http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=642&lg=f,kolo-a,Angelika Kolompar Renville,F,Canada,   Federal Express\\   m'a trouvée dans le brouillard\\   collier de plumeria
71,http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=6887&lg=f,lour-k,Karyn Louryan ,F,Belgique,jour amer ...\\cannelle girofle et muscade\\relèvent les chicons
72,http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=2423&lg=f,anna, anna,F,France,chaleur écrasante\\les girolles\\sous la mousse
73,http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=5734&lg=f,dufl-m,Michel Duflo,H,France,aube d'hiver -\\urgence absolue\\d'un second café
74,http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=3879&lg=f,bilq-b,Bill Bilquin,H,Belgique,matin de mars\\regarder vers l'est\\fukushima
75,http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=5239&lg=f,py-d,Daniel Py,H,France,une fesse après l'autre\\elle me précède\\gare Saint-Lazare
76,http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=3935&lg=f,kolo-a,Angelika Kolompar Renville,F,Canada,visite à la clinique du cancer\\une femme chauve passe\\avec un sourire
77,http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=2839&lg=f,quin-p,Philippe Quinta,H,France,le vent se lève -\\le tas de cendres chaudes\\se ranime
