Page,Auteur  ,Sexe,Pays,Nombre Haikus,,,
pani-f ,Francis Panigada ,H,- France,2,,,
pauli-m ,Marguerite Paulin ,F,- Canada,1,,,
pell-j ,Josette Pellet ,F,Grandvaux - Suisse,8,,,
pell-l ,Luce Pelletier ,F,Québec - Canada,6,,,
pelt-m ,Marcel Peltier ,H,Beloeil - Belgique,18,,,
pham-mt ,Minh-Triêt Pham ,H,Paris - France,8,,,
poir-j ,Jimmy Poirier ,H,- Canada,7,,,
py-d ,Daniel Py ,H,Paris - France,89,,,
quac-j ,Jacques Quach ,H,Vincennes - France,5,,,
quer-p ,Pascal Quero ,H,Paris - France,23,,,
quin-p ,Philippe Quinta ,H,- France,112,,,
rais-c ,Carol Raisfeld ,F,"Atlantic Beach, New-York - USA",1,,,
rani-c ,Christiane Ranieri ,F,"Wittenheim, Alsace - France",4,,,
rhut-s ,Sharon Rhutaseljones ,F,- Africa,2,,,
rivo-v ,Valérie Rivoallon ,F,Clichy - France,3,,,
robe-b ,Bruno Robert ,H,Varces - France,6,,,
rose-l ,Luc Rose ,H,- France,2,,,
roze-a ,Annie Rozeron ,F,Chalons sur Saône - France,1,,,
ruau-j ,Jean Ruaud ,H,Paris - France,4,,,
said-n ,Nidal Saidi ,H,- Algérie,11,,,
sakh-mj ,Marie Jeanne Sakhinis-De Meis ,F,Avignon - France,5,,,
sang-r ,Rahmatou Sangotte ,F,Paris - France,4,,,
segu-f ,Françoise Seguin ,F,Copenhagen - Danemark,1,,,
sene-n ,Nicole Senecal ,F,Saint-Louis de Richelieu (Québec) - Canada,13,,,
senk-p ,Pascale Senk ,F,Paris - France,3,,,
serj-d ,David Serjeant ,H,Derbyshire - UK,1,,,
serr-m ,Monique Serres ,F,- France,1,,,
soet-f ,Fred Soete ,H,- Belgique,1,,,
somp-p ,Patrick Somprou ,H,Jarnac - France,8,,,
sori-h ,Hélène Soris ,F,Annecy - France,3,,,
sorl-w ,William Sorlien ,H,"St. Paul, Minnesota - USA",2,,,
souc-d ,Diane Souchon ,F,"Grabels, Roussillon - France",2,,,
sprite ,sprite ,?,London - England,10,,,
supo-l ,Lucia Supova ,F,Luxembourg - Luxembourg,79,,,
tale-a ,Allal Taleb ,H,Dilbeek - Belgique,11,,,
terr-a ,Alain Terrienne ,H,Sarthe - France,2,,,
ther-d ,Denise Therriault-Ruest ,F,- Canada,4,,,
tome-s ,Serge Tomé ,H,Liege - Belgique,37,,,
